Th. Winter	Th. Intermediate	Th. Summer
0.131652352	0.737536244	0.009191677
0.569186539	0.737543517	0.009198036
0.588100673	0.737550984	0.009203865
0.411598644	1.100058363	0.0092101
0.31971861	1.100065241	0.00921629
0.606499649	1.100072055	0.009222325
0.491523172	1.100079137	0.009228961
0.496549812	1.100086143	0.00923598
0.516268108	0.879416164	0.009242753
0.197472881	0.840901403	0.009249758
0.235512545	0.97573411	0.009256668
0.026201719	0.973857773	0.009263486
0.026216083	1.130935195	0.009270064
0.02623105	0.971481259	0.009276561
0.026246902	0.96960335	0.009283412
0.026262835	0.967798735	0.009290171
0.026279914	0.966058503	0.009296838
0.197798424	0.964385784	0.009303712
0.026317491	0.76377462	0.009310487
0.026338172	0.713646632	0.009317154
0.02635932	0.490910969	0.009323715
0.13138062	0.490012219	0.009330501
0.140735273	0.262693949	0.009337285
0.026423309	0.245079219	0.009343957
0.131445153	0.24323504	0.009350842
0.026466581	0.24146221	0.009357075
0.026907117	0.239758127	0.009363211
0.0285395	0.13146243	0.009369252
0.142894601	0.130566218	0.009375023
0.028577198	0.129705546	0.009380711
0.028594394	0.128878882	0.009386364
0.028611718	0.128084913	0.00939195
0.39113453	0.127322765	0.00939667
0.391157621	0.489090871	0.009401534
0.443680488	0.488387939	0.036389413
0.753703489	0.487712949	0.011039513
0.75372628	0.487065114	0.011044708
0.753748305	0.486443053	0.011044386
0.753770487	0.485845644	0.373543951
0.753792384	0.485272216	0.373544071
0.911313865	0.484721357	0.373549539
0.753835298	0.484192572	0.373554581
0.753856621	0.483685267	0.37355967
0.753878472	0.483197987	0.373564695
0.649843983	0.482729904	0.73606967
0.516588031	0.221795511	0.736074598
0.515513388	0.136890625	0.736079479
0.476220715	0.135799969	0.736084506
0.278415247	0.134714727	0.736089753
0.637025147	0.133671958	0.736095268
0.635021803	0.493062541	0.529654987
0.515927802	0.49209921	0.491749743
0.514941125	0.491174008	0.490601975
0.51399292	0.490279764	0.489498369
0.513081925	0.691790588	0.488436786
0.714576966	0.934558553	0.537582717
0.537663792	0.850307594	0.308055421
0.510559684	0.849550834	0.242230565
0.509783967	0.848823656	0.240207709
0.509042862	0.848124839	0.296229317
0.508330887	0.847453492	0.238355598
0.401113297	0.846807231	0.236557183
0.268491565	1.159048799	0.234828013
0.266684739	0.970802866	0.120076735
0.264960164	0.969059584	0.119380109
0.46564384	0.967384154	0.481210314
0.177479518	0.965807973	0.480566318
0.394170368	0.868401878	0.480660363
0.395030683	0.72260757	0.843718627
0.39628892	0.720061442	0.843147352
0.396312856	0.717651418	0.842598291
0.396336652	0.715297641	0.842070754
0.510693008	0.713076234	0.842369981
0.303346648	0.450189403	0.84311462
