time,soc,power
2017-08-08 07:15:00+00:00,20.0,8.0
2017-08-08 07:30:00+00:00,20.0,4.0
2017-08-08 07:45:00+00:00,20.0,12.0
2017-08-08 08:00:00+00:00,20.0,8.0
2017-08-08 08:15:00+00:00,21.0,8.0
2017-08-08 08:30:00+00:00,21.0,12.0
2017-08-08 08:45:00+00:00,21.0,264.0
2017-08-08 09:00:00+00:00,21.0,8.0
2017-08-08 09:15:00+00:00,21.0,8.0
2017-08-08 09:30:00+00:00,21.0,40.0
2017-08-08 09:45:00+00:00,21.0,8.0
2017-08-08 10:00:00+00:00,21.0,4.0
2017-08-08 10:15:00+00:00,21.0,12.0
2017-08-08 10:30:00+00:00,21.0,28.0
2017-08-08 10:45:00+00:00,21.0,12.0
2017-08-08 11:00:00+00:00,21.0,4.0
2017-08-08 11:15:00+00:00,21.0,8.0
2017-08-08 11:30:00+00:00,21.0,312.0
2017-08-08 11:45:00+00:00,21.0,4.0
2017-08-08 12:00:00+00:00,21.0,8.0
2017-08-08 12:15:00+00:00,21.0,12.0
2017-08-08 12:30:00+00:00,21.0,8.0
2017-08-08 12:45:00+00:00,21.0,8.0
2017-08-08 13:00:00+00:00,21.0,8.0
2017-08-08 13:15:00+00:00,21.0,8.0
2017-08-08 13:30:00+00:00,21.0,8.0
2017-08-08 13:45:00+00:00,21.0,8.0
2017-08-08 14:00:00+00:00,21.0,8.0
2017-08-08 14:15:00+00:00,21.0,8.0
2017-08-08 14:30:00+00:00,21.0,8.0
2017-08-08 14:45:00+00:00,21.0,8.0
2017-08-08 15:00:00+00:00,21.0,4.0
2017-08-08 15:15:00+00:00,21.0,8.0
2017-08-08 15:30:00+00:00,21.0,12.0
2017-08-08 15:45:00+00:00,21.0,4.0
2017-08-08 16:00:00+00:00,21.0,8.0
2017-08-08 16:15:00+00:00,21.0,8.0
2017-08-08 16:30:00+00:00,21.0,8.0
2017-08-08 16:45:00+00:00,21.0,8.0
2017-08-08 17:00:00+00:00,21.0,8.0
2017-08-08 17:15:00+00:00,21.0,8.0
2017-08-08 17:30:00+00:00,21.0,8.0
2017-08-08 17:45:00+00:00,21.0,8.0
2017-08-08 18:00:00+00:00,21.0,8.0
2017-08-08 18:15:00+00:00,21.0,8.0
2017-08-08 18:30:00+00:00,21.0,8.0
2017-08-08 18:45:00+00:00,21.0,8.0
2017-08-08 19:00:00+00:00,21.0,4.0
