El. Winter	El. Intermediate	El. Summer
0.221283333	0.202066667	0.215066667
0.229783333	0.201633333	0.2266
0.237283333	0.20085	0.225816667
0.224883333	0.199616667	0.227533333
0.270416667	0.194233333	0.224733333
0.309716667	0.185116667	0.22705
0.298866667	0.19005	0.217966667
0.305666667	0.187333333	0.22035
0.280083333	0.181766667	0.230983333
0.2789	0.212966667	0.234433333
0.2841	0.213633333	0.2308
0.28735	0.211166667	0.227666667
0.2885	0.171483333	0.224866667
0.292883333	0.170766667	0.257466667
0.288833333	0.168766667	0.26825
0.2876	0.172583333	0.264
0.283516667	0.184483333	0.228183333
0.281833333	0.185333333	0.23325
0.285533333	0.194033333	0.228783333
0.283783333	0.193966667	0.232016667
0.280166667	0.20205	0.233866667
0.267683333	0.197233333	0.23875
0.268616667	0.195483333	0.23775
0.263233333	0.196566667	0.237583333
0.219966667	0.19765	0.2803
0.203	0.182966667	0.2667
0.199516667	0.184933333	0.270783333
0.2023	0.188216667	0.275066667
0.210933333	0.181016667	0.276466667
0.212933333	0.210166667	0.273366667
0.224733333	0.213933333	0.26825
0.2316	0.21325	0.251583333
0.22685	0.185516667	0.2517
0.23445	0.182766667	0.254066667
0.237233333	0.188883333	0.245733333
0.21885	0.187633333	0.218666667
0.225666667	0.186316667	0.216166667
0.22225	0.201383333	0.224966667
0.22605	0.190183333	0.216633333
0.263533333	0.193533333	0.220333333
0.26185	0.193433333	0.221033333
0.264516667	0.193433333	0.221033333
0.284616667	0.18525	0.2219
0.284416667	0.188116667	0.215566667
0.27715	0.1866	0.163983333
0.235866667	0.19575	0.162216667
0.229966667	0.1944	0.167566667
0.2305	0.21755	0.166133333
0.234983333	0.212433333	0.165616667
0.232483333	0.215083333	0.194283333
0.239583333	0.226816667	0.194316667
0.249933333	0.224183333	0.200816667
0.23075	0.224233333	0.169766667
0.26605	0.19705	0.165766667
0.269983333	0.2004	0.169766667
0.262216667	0.192183333	0.16345
0.222716667	0.198466667	0.1697
0.23445	0.197116667	0.167166667
0.236666667	0.1893	0.170566667
0.19725	0.179433333	0.17055
0.198366667	0.175183333	0.172566667
0.199566667	0.175883333	0.169533333
0.20065	0.174783333	0.1741
0.19865	0.174	0.17975
0.195966667	0.3373	0.17555
0.190416667	0.3382	0.177416667
0.197083333	0.332566667	0.176316667
0.196533333	0.216716667	0.174233333
0.1962	0.226216667	0.18105
0.19895	0.229533333	0.184333333
0.21075	0.233666667	0.222
0.331516667	0.27355	0.225716667
0.338033333	0.278166667	0.2358
0.3297	0.2797	0.20265
0.196433333	0.23635	0.201316667
0.19105	0.236583333	0.205766667
0.18325	0.23525	0.20285
0.1838	0.22725	0.2078
0.17955	0.23225	0.20635
0.171416667	0.2287	0.200833333
0.17465	0.229916667	0.203266667
0.1738	0.228116667	0.201166667
0.202466667	0.227916667	0.1985
0.203566667	0.22355	0.203116667
0.202833333	0.2157	0.20175
0.163033333	0.213933333	0.198083333
0.165033333	0.2128	0.19545
0.164716667	0.211666667	0.206833333
0.163133333	0.21695	0.210883333
0.164266667	0.21715	0.206966667
0.164266667	0.214983333	0.20925
0.1543	0.217483333	0.21025
0.150033333	0.2254	0.199816667
0.1513	0.223283333	0.194033333
0.150366667	0.222616667	0.192683333
0.1539	0.223033333	0.184933333
0.160866667	0.223033333	0.185433333
0.155383333	0.22275	0.181183333
0.15545	0.21845	0.18155
0.155733333	0.220933333	0.177466667
0.159766667	0.226683333	0.182683333
0.167333333	0.237016667	0.1848
0.164183333	0.232316667	0.182366667
0.164683333	0.232383333	0.17685
0.165683333	0.230983333	0.177616667
0.16125	0.219166667	0.1694
0.156033333	0.220633333	0.1757
0.161083333	0.16105	0.1824
0.157716667	0.161416667	0.178066667
0.154283333	0.159	0.1718
0.146666667	0.152	0.175216667
0.147566667	0.158083333	0.197433333
0.148633333	0.154466667	0.189316667
0.146683333	0.153233333	0.226733333
0.1446	0.150066667	0.22725
0.180083333	0.153633333	0.2315
0.1825	0.1536	0.228916667
0.1825	0.152733333	0.23365
0.148433333	0.153983333	0.233733333
0.15265	0.152966667	0.191033333
0.151533333	0.154033333	0.2036
0.14725	0.156916667	0.200183333
0.145616667	0.15215	0.201916667
0.143216667	0.155983333	0.199133333
0.1429	0.15905	0.199133333
0.13445	0.152566667	0.19415
0.1426	0.1523	0.188916667
0.140433333	0.15255	0.185266667
0.14645	0.155733333	0.18525
0.149766667	0.151733333	0.180966667
0.152116667	0.149216667	0.181966667
0.1508	0.147233333	0.187516667
0.19835	0.151833333	0.18455
0.203066667	0.155366667	0.185716667
0.213316667	0.156366667	0.179233333
0.212983333	0.144433333	0.1819
0.21575	0.139216667	0.181566667
0.212366667	0.1302	0.181016667
0.219066667	0.128533333	0.185366667
0.224533333	0.129433333	0.190966667
0.224966667	0.184166667	0.185383333
0.223316667	0.184166667	0.18605
0.221333333	0.185433333	0.186216667
0.218933333	0.18695	0.180783333
0.225483333	0.19355	0.177583333
0.22215	0.189633333	0.181833333
0.2192	0.3381	0.181166667
0.21815	0.338766667	0.1871
0.20775	0.347883333	0.186316667
0.204733333	0.1982	0.19555
0.208266667	0.191583333	0.226016667
0.220966667	0.196016667	0.266333333
0.18465	0.205933333	0.272283333
0.186733333	0.207716667	0.23255
0.185033333	0.205133333	0.200033333
0.181666667	0.204083333	0.196633333
0.176433333	0.211283333	0.200483333
0.178533333	0.2135	0.205233333
0.175016667	0.216333333	0.201516667
0.177766667	0.216333333	0.200033333
0.178116667	0.1659	0.196816667
0.173766667	0.16655	0.190966667
0.175666667	0.16015	0.192983333
0.17795	0.162783333	0.18635
0.17795	0.160233333	0.198233333
0.169083333	0.16665	0.2002
0.1668	0.1955	0.250883333
0.168466667	0.194833333	0.24995
0.197916667	0.194433333	0.2527
0.196933333	0.152583333	0.21365
0.197066667	0.153433333	0.20645
0.162466667	0.148916667	0.19
0.166816667	0.147783333	0.1914
0.155	0.151683333	0.186383333
0.15305	0.147133333	0.193616667
0.148566667	0.1452	0.2303
0.152566667	0.179083333	0.224233333
0.152366667	0.1837	0.223016667
0.151716667	0.179666667	0.189166667
0.157683333	0.145133333	0.186833333
0.15725	0.148916667	0.189583333
0.154033333	0.148066667	0.195733333
0.150133333	0.1489	0.193883333
0.151866667	0.14725	0.201733333
0.1479	0.30555	0.19725
0.146816667	0.300766667	0.19875
0.1537	0.30255	0.191883333
0.194366667	0.157383333	0.183033333
0.187816667	0.155433333	0.179716667
0.185683333	0.159616667	0.178966667
0.1485	0.162083333	0.180866667
0.156833333	0.162416667	0.1754
0.156833333	0.16615	0.167083333
0.158416667	0.167733333	0.1638
0.1528	0.166	0.162133333
0.1584	0.166666667	0.161033333
0.1611	0.171383333	0.1459
0.157266667	0.2219	0.147983333
0.15465	0.214033333	0.150733333
0.153733333	0.214716667	0.1581
0.158066667	0.217283333	0.159833333
0.161233333	0.209366667	0.159066667
0.16405	0.21135	0.162583333
0.2014	0.272366667	0.163366667
0.25075	0.275083333	0.162783333
0.236533333	0.2743	0.155533333
0.2053	0.280333333	0.16175
0.2053	0.280466667	0.165183333
0.229216667	0.293233333	0.16385
0.2253	0.288616667	0.170966667
